prompt,debate,model,debater,criterion,score
2,1,claude,Debater 3,mastery_of_the_topic,7.166666666666667
2,1,claude,Debater 3,organization_and_clarity,7.5
2,1,claude,Debater 3,persuasion,7.5
2,1,claude,Debater 3,preparation,7.0
2,1,claude,Debater 3,use_of_examples,7.0
2,1,claude,Debater 4,adaptability,7.0
2,1,claude,Debater 4,argumentation,6.833333333333333
2,1,claude,Debater 4,coherence,7.0
2,1,claude,Debater 4,engagement,7.333333333333333
2,1,claude,Debater 4,mastery_of_the_topic,7.333333333333333
2,1,claude,Debater 4,organization_and_clarity,6.333333333333333
2,1,claude,Debater 4,persuasion,6.333333333333333
2,1,claude,Debater 4,preparation,6.666666666666667
2,1,claude,Debater 4,use_of_examples,6.333333333333333
2,1,gemini,Debater 1,adaptability,8.0
2,1,gemini,Debater 1,argumentation,8.5
2,1,gemini,Debater 1,coherence,8.5
2,1,gemini,Debater 1,engagement,8.5
2,1,gemini,Debater 1,mastery_of_the_topic,8.5
2,1,gemini,Debater 1,organization_and_clarity,8.5
2,1,gemini,Debater 1,persuasion,8.0
2,1,gemini,Debater 1,preparation,8.166666666666666
2,1,gemini,Debater 1,use_of_examples,8.0
2,1,gemini,Debater 2,adaptability,8.5
2,1,gemini,Debater 2,argumentation,9.0
2,1,gemini,Debater 2,coherence,9.0
2,1,gemini,Debater 2,engagement,9.0
2,1,gemini,Debater 2,mastery_of_the_topic,9.133333333333333
2,1,gemini,Debater 2,organization_and_clarity,8.166666666666666
2,1,gemini,Debater 2,persuasion,8.866666666666667
2,1,gemini,Debater 2,preparation,9.0
2,1,gemini,Debater 2,use_of_examples,8.666666666666666
2,1,gemini,Debater 3,adaptability,8.166666666666666
2,1,gemini,Debater 3,argumentation,8.466666666666667
2,1,gemini,Debater 3,coherence,8.700000000000001
2,1,gemini,Debater 3,engagement,8.700000000000001
2,1,gemini,Debater 3,mastery_of_the_topic,8.466666666666667
2,1,gemini,Debater 3,organization_and_clarity,8.333333333333334
2,1,gemini,Debater 3,persuasion,8.766666666666667
2,1,gemini,Debater 3,preparation,8.333333333333334
2,1,gemini,Debater 3,use_of_examples,8.700000000000001
2,1,gemini,Debater 4,adaptability,8.333333333333334
2,1,gemini,Debater 4,argumentation,8.5
2,1,gemini,Debater 4,coherence,8.5
2,1,gemini,Debater 4,engagement,9.0
2,1,gemini,Debater 4,mastery_of_the_topic,8.633333333333333
2,1,gemini,Debater 4,organization_and_clarity,7.533333333333334
2,1,gemini,Debater 4,persuasion,8.299999999999999
2,1,gemini,Debater 4,preparation,8.5
2,1,gemini,Debater 4,use_of_examples,8.0
2,1,gpt4o,Debater 1,adaptability,7.5
2,1,gpt4o,Debater 1,argumentation,8.0
2,1,gpt4o,Debater 1,coherence,7.833333333333333
2,1,gpt4o,Debater 1,engagement,8.0
2,1,gpt4o,Debater 1,mastery_of_the_topic,7.5
2,1,gpt4o,Debater 1,organization_and_clarity,7.5
2,1,gpt4o,Debater 1,persuasion,7.5
2,1,gpt4o,Debater 1,preparation,8.0
2,1,gpt4o,Debater 1,use_of_examples,7.0
2,1,gpt4o,Debater 2,adaptability,8.0
2,1,gpt4o,Debater 2,argumentation,8.5
2,1,gpt4o,Debater 2,coherence,8.5
2,1,gpt4o,Debater 2,engagement,8.333333333333334
2,1,gpt4o,Debater 2,mastery_of_the_topic,8.0
2,1,gpt4o,Debater 2,organization_and_clarity,8.0
2,1,gpt4o,Debater 2,persuasion,8.166666666666666
2,1,gpt4o,Debater 2,preparation,8.5
2,1,gpt4o,Debater 2,use_of_examples,8.0
2,1,gpt4o,Debater 3,adaptability,7.666666666666667
2,1,gpt4o,Debater 3,argumentation,8.0
2,1,gpt4o,Debater 3,coherence,7.833333333333333
2,1,gpt4o,Debater 3,engagement,8.166666666666666
2,1,gpt4o,Debater 3,mastery_of_the_topic,7.833333333333333
2,1,gpt4o,Debater 3,organization_and_clarity,7.833333333333333
2,1,gpt4o,Debater 3,persuasion,7.933333333333334
2,1,gpt4o,Debater 3,preparation,8.0
2,1,gpt4o,Debater 3,use_of_examples,7.5
2,1,gpt4o,Debater 4,adaptability,7.5
2,1,gpt4o,Debater 4,argumentation,7.5
2,1,gpt4o,Debater 4,coherence,7.5
2,1,gpt4o,Debater 4,engagement,7.666666666666667
2,1,gpt4o,Debater 4,mastery_of_the_topic,7.5
2,1,gpt4o,Debater 4,organization_and_clarity,7.333333333333333
2,1,gpt4o,Debater 4,persuasion,7.5
2,1,gpt4o,Debater 4,preparation,7.666666666666667
2,1,gpt4o,Debater 4,use_of_examples,7.0
2,2,claude,Debater 1,adaptability,7.0
2,2,claude,Debater 1,argumentation,6.5
2,2,claude,Debater 1,coherence,7.5
2,2,claude,Debater 1,engagement,7.5
2,2,claude,Debater 1,mastery_of_the_topic,7.0
2,2,claude,Debater 1,organization_and_clarity,7.0
2,2,claude,Debater 1,persuasion,6.5
2,2,claude,Debater 1,preparation,6.5
2,2,claude,Debater 1,use_of_examples,5.5
2,2,claude,Debater 2,adaptability,6.0
2,2,claude,Debater 2,argumentation,6.0
2,2,claude,Debater 2,coherence,7.0
2,2,claude,Debater 2,engagement,6.333333333333333
2,2,claude,Debater 2,mastery_of_the_topic,6.5
2,2,claude,Debater 2,organization_and_clarity,6.5
2,2,claude,Debater 2,persuasion,6.0
2,2,claude,Debater 2,preparation,6.166666666666667
2,2,claude,Debater 2,use_of_examples,5.0
2,2,claude,Debater 3,adaptability,6.166666666666667
2,2,claude,Debater 3,argumentation,6.5
2,2,claude,Debater 3,coherence,6.833333333333333
2,2,claude,Debater 3,engagement,7.0
2,2,claude,Debater 3,mastery_of_the_topic,6.5
2,2,claude,Debater 3,organization_and_clarity,6.5
2,2,claude,Debater 3,persuasion,6.0
2,2,claude,Debater 3,preparation,6.0
2,2,claude,Debater 3,use_of_examples,6.0
2,2,claude,Debater 4,adaptability,7.5
2,2,claude,Debater 4,argumentation,8.5
2,2,claude,Debater 4,coherence,8.0
2,2,claude,Debater 4,engagement,8.0
2,2,claude,Debater 4,mastery_of_the_topic,8.0
2,2,claude,Debater 4,organization_and_clarity,8.0
2,2,claude,Debater 4,persuasion,7.5
2,2,claude,Debater 4,preparation,7.5
2,2,claude,Debater 4,use_of_examples,7.5
2,2,claude,Debater 5,adaptability,7.5
2,2,claude,Debater 5,argumentation,8.0
2,2,claude,Debater 5,coherence,7.833333333333333
2,2,claude,Debater 5,engagement,8.0
2,2,claude,Debater 5,mastery_of_the_topic,7.666666666666667
2,2,claude,Debater 5,organization_and_clarity,7.5
2,2,claude,Debater 5,persuasion,7.5
2,2,claude,Debater 5,preparation,7.5
2,2,claude,Debater 5,use_of_examples,7.0
2,2,gemini,Debater 1,adaptability,8.0
2,2,gemini,Debater 1,argumentation,7.833333333333333
2,2,gemini,Debater 1,coherence,7.933333333333334
2,2,gemini,Debater 1,engagement,8.333333333333334
2,2,gemini,Debater 1,mastery_of_the_topic,8.033333333333333
2,2,gemini,Debater 1,organization_and_clarity,8.166666666666666
2,2,gemini,Debater 1,persuasion,7.866666666666666
2,2,gemini,Debater 1,preparation,8.033333333333333
2,2,gemini,Debater 1,use_of_examples,7.933333333333334
2,2,gemini,Debater 2,adaptability,7.533333333333334
2,2,gemini,Debater 2,argumentation,7.933333333333334
2,2,gemini,Debater 2,coherence,8.133333333333333
2,2,gemini,Debater 2,engagement,7.333333333333333
2,2,gemini,Debater 2,mastery_of_the_topic,7.933333333333333
2,2,gemini,Debater 2,organization_and_clarity,8.0
2,2,gemini,Debater 2,persuasion,7.766666666666667
2,2,gemini,Debater 2,preparation,8.066666666666666
2,2,gemini,Debater 2,use_of_examples,7.7
2,2,gemini,Debater 3,adaptability,7.333333333333333
2,2,gemini,Debater 3,argumentation,7.933333333333333
2,2,gemini,Debater 3,coherence,7.933333333333334
2,2,gemini,Debater 3,engagement,7.466666666666666
2,2,gemini,Debater 3,mastery_of_the_topic,7.666666666666667
2,2,gemini,Debater 3,organization_and_clarity,7.6000000000000005
2,2,gemini,Debater 3,persuasion,7.633333333333333
2,2,gemini,Debater 3,preparation,7.7
2,2,gemini,Debater 3,use_of_examples,7.333333333333333
2,2,gemini,Debater 4,adaptability,8.866666666666667
2,2,gemini,Debater 4,argumentation,9.233333333333333
2,2,gemini,Debater 4,coherence,9.1
2,2,gemini,Debater 4,engagement,9.0
2,2,gemini,Debater 4,mastery_of_the_topic,9.333333333333334
2,2,gemini,Debater 4,organization_and_clarity,9.033333333333333
2,2,gemini,Debater 4,persuasion,8.933333333333334
2,2,gemini,Debater 4,preparation,9.166666666666666
2,2,gemini,Debater 4,use_of_examples,8.733333333333333
2,2,gemini,Debater 5,adaptability,9.266666666666667
2,2,gemini,Debater 5,argumentation,9.066666666666666
2,2,gemini,Debater 5,coherence,8.933333333333334
2,2,gemini,Debater 5,engagement,9.299999999999999
2,2,gemini,Debater 5,mastery_of_the_topic,9.166666666666666
2,2,gemini,Debater 5,organization_and_clarity,9.0
2,2,gemini,Debater 5,persuasion,8.966666666666667
2,2,gemini,Debater 5,preparation,8.966666666666667
2,2,gemini,Debater 5,use_of_examples,8.8
2,2,gpt4o,Debater 1,adaptability,8.0
2,2,gpt4o,Debater 1,argumentation,8.0
2,2,gpt4o,Debater 1,coherence,8.066666666666666
2,2,gpt4o,Debater 1,engagement,8.5
2,2,gpt4o,Debater 1,mastery_of_the_topic,8.0
2,2,gpt4o,Debater 1,organization_and_clarity,7.5
2,2,gpt4o,Debater 1,persuasion,8.2
2,2,gpt4o,Debater 1,preparation,8.5
2,2,gpt4o,Debater 1,use_of_examples,7.8
2,2,gpt4o,Debater 2,adaptability,7.5
2,2,gpt4o,Debater 2,argumentation,8.0
2,2,gpt4o,Debater 2,coherence,8.0
2,2,gpt4o,Debater 2,engagement,7.900000000000001
2,2,gpt4o,Debater 2,mastery_of_the_topic,7.5
2,2,gpt4o,Debater 2,organization_and_clarity,7.5
2,2,gpt4o,Debater 2,persuasion,7.8
2,2,gpt4o,Debater 2,preparation,8.0
2,2,gpt4o,Debater 2,use_of_examples,7.0
2,2,gpt4o,Debater 3,adaptability,7.3
2,2,gpt4o,Debater 3,argumentation,7.5
2,2,gpt4o,Debater 3,coherence,7.6000000000000005
2,2,gpt4o,Debater 3,engagement,7.8
2,2,gpt4o,Debater 3,mastery_of_the_topic,7.5
2,2,gpt4o,Debater 3,organization_and_clarity,7.0
2,2,gpt4o,Debater 3,persuasion,7.5
2,2,gpt4o,Debater 3,preparation,7.5
2,2,gpt4o,Debater 3,use_of_examples,7.0
2,2,gpt4o,Debater 4,adaptability,8.066666666666666
2,2,gpt4o,Debater 4,argumentation,8.5
2,2,gpt4o,Debater 4,coherence,8.133333333333333
2,2,gpt4o,Debater 4,engagement,8.5
2,2,gpt4o,Debater 4,mastery_of_the_topic,8.5
2,2,gpt4o,Debater 4,organization_and_clarity,8.0
2,2,gpt4o,Debater 4,persuasion,8.3
2,2,gpt4o,Debater 4,preparation,8.5
2,2,gpt4o,Debater 4,use_of_examples,8.0
2,2,gpt4o,Debater 5,adaptability,8.200000000000001
2,2,gpt4o,Debater 5,argumentation,8.4
2,2,gpt4o,Debater 5,coherence,8.333333333333334
2,2,gpt4o,Debater 5,engagement,8.433333333333334
2,2,gpt4o,Debater 5,mastery_of_the_topic,8.333333333333334
2,2,gpt4o,Debater 5,organization_and_clarity,8.333333333333334
2,2,gpt4o,Debater 5,persuasion,8.266666666666667
2,2,gpt4o,Debater 5,preparation,8.5
2,2,gpt4o,Debater 5,use_of_examples,8.233333333333333
2,3,claude,Debater 1,adaptability,7.0
2,3,claude,Debater 1,argumentation,7.5
2,3,claude,Debater 1,coherence,8.0
2,3,claude,Debater 1,engagement,7.5
2,3,claude,Debater 1,mastery_of_the_topic,7.5
2,3,claude,Debater 1,organization_and_clarity,7.5
2,3,claude,Debater 1,persuasion,7.0
2,3,claude,Debater 1,preparation,7.0
2,3,claude,Debater 1,use_of_examples,6.0
2,3,claude,Debater 2,adaptability,7.5
2,3,claude,Debater 2,argumentation,7.5
2,3,claude,Debater 2,coherence,7.5
2,3,claude,Debater 2,engagement,8.0
2,3,claude,Debater 2,mastery_of_the_topic,7.166666666666667
2,3,claude,Debater 2,organization_and_clarity,7.5
2,3,claude,Debater 2,persuasion,7.0
2,3,claude,Debater 2,preparation,7.0
2,3,claude,Debater 2,use_of_examples,7.333333333333333
2,3,claude,Debater 3,adaptability,7.5
2,3,claude,Debater 3,argumentation,7.833333333333333
2,3,claude,Debater 3,coherence,7.666666666666667
2,3,claude,Debater 3,engagement,8.0
2,3,claude,Debater 3,mastery_of_the_topic,8.0
2,3,claude,Debater 3,organization_and_clarity,7.833333333333333
2,3,claude,Debater 3,persuasion,7.333333333333333
2,3,claude,Debater 3,preparation,7.5
2,3,claude,Debater 3,use_of_examples,8.166666666666666
2,3,claude,Debater 4,adaptability,8.0
2,3,claude,Debater 4,argumentation,8.5
2,3,claude,Debater 4,coherence,8.0
2,3,claude,Debater 4,engagement,8.5
2,3,claude,Debater 4,mastery_of_the_topic,8.333333333333334
2,3,claude,Debater 4,organization_and_clarity,8.166666666666666
2,3,claude,Debater 4,persuasion,8.333333333333334
2,3,claude,Debater 4,preparation,8.0
2,3,claude,Debater 4,use_of_examples,8.833333333333334
2,3,claude,Debater 5,adaptability,7.5
2,3,claude,Debater 5,argumentation,7.666666666666667
2,3,claude,Debater 5,coherence,7.833333333333333
2,3,claude,Debater 5,engagement,7.166666666666667
2,3,claude,Debater 5,mastery_of_the_topic,7.666666666666667
2,3,claude,Debater 5,organization_and_clarity,7.5
2,3,claude,Debater 5,persuasion,7.333333333333333
2,3,claude,Debater 5,preparation,7.333333333333333
2,3,claude,Debater 5,use_of_examples,7.666666666666667
2,3,gemini,Debater 1,adaptability,8.5
2,3,gemini,Debater 1,argumentation,7.833333333333333
2,3,gemini,Debater 1,coherence,7.833333333333333
2,3,gemini,Debater 1,engagement,8.166666666666666
2,3,gemini,Debater 1,mastery_of_the_topic,7.666666666666667
2,3,gemini,Debater 1,organization_and_clarity,7.833333333333333
2,3,gemini,Debater 1,persuasion,7.333333333333333
2,3,gemini,Debater 1,preparation,7.333333333333333
2,3,gemini,Debater 1,use_of_examples,7.166666666666667
2,3,gemini,Debater 2,adaptability,7.166666666666667
2,3,gemini,Debater 2,argumentation,8.0
2,3,gemini,Debater 2,coherence,8.0
2,3,gemini,Debater 2,engagement,8.5
2,3,gemini,Debater 2,mastery_of_the_topic,7.8
2,3,gemini,Debater 2,organization_and_clarity,7.666666666666667
2,3,gemini,Debater 2,persuasion,7.8
2,3,gemini,Debater 2,preparation,7.6000000000000005
2,3,gemini,Debater 2,use_of_examples,7.5
2,3,gemini,Debater 3,adaptability,8.333333333333334
2,3,gemini,Debater 3,argumentation,8.5
2,3,gemini,Debater 3,coherence,8.4
2,3,gemini,Debater 3,engagement,8.166666666666666
2,3,gemini,Debater 3,mastery_of_the_topic,8.266666666666667
2,3,gemini,Debater 3,organization_and_clarity,8.0
2,3,gemini,Debater 3,persuasion,8.066666666666666
2,3,gemini,Debater 3,preparation,8.0
2,3,gemini,Debater 3,use_of_examples,8.0
2,3,gemini,Debater 4,adaptability,8.266666666666667
2,3,gemini,Debater 4,argumentation,9.5
2,3,gemini,Debater 4,coherence,9.266666666666667
2,3,gemini,Debater 4,engagement,9.0
2,3,gemini,Debater 4,mastery_of_the_topic,9.5
2,3,gemini,Debater 4,organization_and_clarity,9.0
2,3,gemini,Debater 4,persuasion,9.2
2,3,gemini,Debater 4,preparation,9.5
2,3,gemini,Debater 4,use_of_examples,9.333333333333334
2,3,gemini,Debater 5,adaptability,8.5
2,3,gemini,Debater 5,argumentation,8.2
2,3,gemini,Debater 5,coherence,8.2
2,3,gemini,Debater 5,engagement,8.5
2,3,gemini,Debater 5,mastery_of_the_topic,8.266666666666667
2,3,gemini,Debater 5,organization_and_clarity,8.166666666666666
2,3,gemini,Debater 5,persuasion,8.0
2,3,gemini,Debater 5,preparation,8.0
2,3,gemini,Debater 5,use_of_examples,8.333333333333334
2,3,gpt4o,Debater 1,adaptability,8.0
2,3,gpt4o,Debater 1,argumentation,8.0
