Grupo,data_hora,id,desempenho_proprio,conhecimento_previo,li_material,estudo_extra,expansao_visao,melhor_debatedor,justificativa
8,09/10/2023 16:49:23,1,razoável,indiferente (ou neutro),concordo totalmente,indiferente (ou neutro),concordo,Considero que não houve um(a) debatedor(a) cuja desenvoltura foi melhor que os demais.,Acho que todos defenderam igualmente e entraram em consenso de acordo com suas perspectivas 
9,17/10/2023 15:15:53,2,excelente,indiferente (ou neutro),concordo totalmente,concordo,concordo totalmente,Debatedor 1,expôs bem seu ponto de vista
9,17/10/2023 15:16:55,3,razoável,indiferente (ou neutro),indiferente (ou neutro),indiferente (ou neutro),concordo,Debatedor 2,Teve uma boa desenvoltura no debate
9,17/10/2023 15:17:42,1,muito bom,concordo totalmente,concordo,concordo,indiferente (ou neutro),Considero que não houve um(a) debatedor(a) cuja desenvoltura foi melhor que os demais.,Todos os debatedores expressaram suas opiniões de forma excelente
9,17/10/2023 15:20:58,4,bom,indiferente (ou neutro),concordo,discordo,concordo,Debatedor 1,houve uma boa desenvoltura no discurso e ótima capacidade de argumentação e analógias 
10,17/10/2023 16:00:24,4,excelente,discordo,concordo,concordo,concordo,Debatedor 1,A desenvoltura dos argumentos
10,17/10/2023 16:21:17,3,muito bom,concordo,concordo,indiferente (ou neutro),concordo totalmente,Considero que não houve um(a) debatedor(a) cuja desenvoltura foi melhor que os demais.,"Todas apresentaram suas ideias em um alto nível, trazendo pontos de vista e perspectivas relevantes sobre o tema, o que tornou o debate enriquecedor, além de divertido, por ser um assunto um tanto quanto interessante."
10,17/10/2023 16:42:04,1,muito bom,indiferente (ou neutro),concordo totalmente,indiferente (ou neutro),concordo,Debatedor 4,ele mostrou mais conhecimento e desenvoltura para debater sobre o tópico 
11,17/10/2023 16:57:57,4,muito bom,concordo,concordo,indiferente (ou neutro),concordo,Considero que não houve um(a) debatedor(a) cuja desenvoltura foi melhor que os demais.,Acredito que todo mundo foi muito bem e participativo
11,17/10/2023 16:58:24,3,razoável,discordo,concordo,discordo,indiferente (ou neutro),Considero que não houve um(a) debatedor(a) cuja desenvoltura foi melhor que os demais.,Todos expuseram seu ponto de vista de forma coesa e proveitosa.
11,17/10/2023 16:58:40,2,bom,concordo,concordo totalmente,concordo totalmente,concordo totalmente,Debatedor 1,"O debatedor 1 foi o que mais apresentou argumentos contra ou a favor do IA, bem como apresentou opiniões diferentes ou a favores em relação às repostas dos outros participantes "
11,17/10/2023 16:59:54,5,bom,concordo,indiferente (ou neutro),indiferente (ou neutro),concordo,Debatedor 3,"Gostei que a fundamentação dos argumentos do debatedor foram sutis, mas baseadas em pontos extremamente sólidos, o que dificultava a contra-argumentação."
11,17/10/2023 16:59:55,1,bom,concordo,indiferente (ou neutro),indiferente (ou neutro),concordo,Debatedor 3,O debatedor 3 tinha ótimos argumentos para sustentar a sua opinião sobre o assunto tratado.
12,19/10/2023 15:45:06,2,bom,indiferente (ou neutro),concordo,concordo,concordo totalmente,Debatedor 3,Ele falou de forma bem coesa 
12,19/10/2023 15:45:13,3,muito bom,concordo,concordo,discordo,concordo totalmente,Considero que não houve um(a) debatedor(a) cuja desenvoltura foi melhor que os demais.,"O Debate foi extremamente bem conduzido, de forma que todos tiveram a oportunidade de desenvolver bem seus pensamentos, de sorte que não houve destaques"
12,19/10/2023 15:45:38,1,excelente,concordo,concordo totalmente,discordo,concordo totalmente,Debatedor 3,"tinha muito conhecimento sobre o assunto, e conseguiu comunica-lo muito bem"
12,19/10/2023 15:46:24,4,razoável,indiferente (ou neutro),indiferente (ou neutro),concordo totalmente,concordo,Debatedor 3,"Basta observar que aquele que enriqueceu o máximo a discussão, contribuindo com argumentos mais avançados que o esperado, sobretudo, com uma desenvoltura inigualável, trazendo até mesmo mais perguntas que incitaram os outros debatores a um debate mais produtivo."
13,20/10/2023 14:40:40,1,razoável,discordo,concordo,indiferente (ou neutro),concordo,Debatedor 3,Escolhi o argumentador número  3 pois ele trouxe contra argumentos importantes relativos ao tema.
13,20/10/2023 14:40:40,2,bom,concordo,concordo totalmente,concordo totalmente,concordo,Considero que não houve um(a) debatedor(a) cuja desenvoltura foi melhor que os demais.,"Todos demonstraram conhecimento e pontos de vistas complementares entre si, o que tornou o debate bastante proveitoso e dinâmico como um todo."
13,20/10/2023 14:42:28,3,excelente,indiferente (ou neutro),concordo totalmente,concordo,concordo,Considero que não houve um(a) debatedor(a) cuja desenvoltura foi melhor que os demais.,"Devido ao bom desenvolvimento e abordagem de todos durante o debate, todos se saíram bem e se mostraram bem posicionados acerca do tema."
14,20/10/2023 15:32:55,4,muito bom,concordo,indiferente (ou neutro),concordo,concordo,Debatedor 2,"Houve grande desenvoltura nas suas respostas, bem convicto e forte ao parecer das perguntas, contribuiu bastante ao debate"
14,20/10/2023 15:33:31,5,bom,concordo,concordo,concordo,indiferente (ou neutro),Debatedor 2,Foi o debatedor número 2 que trouxe mais informações e implicações úteis para o debate.
14,20/10/2023 15:33:36,3,bom,discordo,indiferente (ou neutro),discordo,concordo totalmente,Debatedor 5,Ele aparentemente já tinha conhecimentos um pouco mais sólidos sobre o tema. 
14,20/10/2023 15:33:42,2,bom,discordo,concordo,concordo,concordo totalmente,Considero que não houve um(a) debatedor(a) cuja desenvoltura foi melhor que os demais.,"Acredito que as opiniões foram válidas, cada um contribuiu de forma benéfica para o experimento, trazendo conteúdos não pensados anteriormente sobre a temática."
14,20/10/2023 15:34:37,1,bom,indiferente (ou neutro),concordo totalmente,concordo totalmente,concordo totalmente,Debatedor 2,"O debatedor 2 consegui explicar de uma forma muito boa sobre sua ideologia em relação a IA, ajudando muito no crescimento intelectual do grupo."
16,27/10/2023 14:38:30,1,bom,indiferente (ou neutro),concordo,discordo,indiferente (ou neutro),Debatedor 3,Foi o debatedor mais participativo 
16,27/10/2023 14:38:49,4,bom,indiferente (ou neutro),concordo,indiferente (ou neutro),concordo totalmente,Debatedor 3,"Os debatedores 2 e 3 tiveram um ótimo desempenho e uma opinião forte sobre o tema, o que possibilitou que a qualidade do debate aumentasse."
16,27/10/2023 14:39:30,2,bom,indiferente (ou neutro),concordo,concordo totalmente,concordo totalmente,Debatedor 3,"Acho que foi o debatedor 3, pois ele me fez pensar sobre um ponto de vista ,sobre a IA, que eu não havia explorado ainda"
16,27/10/2023 14:39:32,5,muito bom,concordo,discordo,discordo,concordo,Debatedor 3,A debatedora 3 foi a mais participativa. 
16,27/10/2023 14:39:42,3,razoável,discordo,concordo totalmente,discordo,indiferente (ou neutro),Debatedor 2,Elaborou bem as respostas às perguntas feitas.
18,26/10/2023 17:16:13,1,muito bom,concordo,concordo totalmente,concordo totalmente,concordo totalmente,Considero que não houve um(a) debatedor(a) cuja desenvoltura foi melhor que os demais.,Acho que todos saíram bem 
18,26/10/2023 17:17:37,2,bom,concordo,concordo,concordo,concordo,Debatedor 2,Ok
18,26/10/2023 17:19:29,4,razoável,indiferente (ou neutro),concordo totalmente,concordo,concordo totalmente,Debatedor 1,Houve aplicação de lógica de forma resumida e concisa em seu discurso
18,26/10/2023 17:20:25,3,excelente,indiferente (ou neutro),concordo,discordo,concordo,Debatedor 3,"Claramente eu, se eu não concordasse comigo mesmo, quem mais iria?"
